OTQ	OTS
nub'u̱ nu'i ingi japi da bo̱nga nu'a ra makja ha nu'a ra hnini, ¿hanja ra yotui, ga tso̱gi nubu̱ ma b'e̱hña? o̱t'a r'ato ya je̱ya bi mu̱di [ra makja ra bartolomé lópez]	nub'u̱ nu'i ingi kjapi da bo̱nga nu'a ra makja ja nu'a ra jnini, ¿jankja ra yotui, ga tso̱gi nubu̱ ma b'e̱jña? o̱t'a r'ato ya kje̱ya bi mu̱di [ra makja ra bartolomé lópez]
pa ga b'u̱i mpaha ne ga o̱t'e n'a ra njondahmä gatho nu'a ga handi.	pa ga b'u̱i mpaja ne ga o̱t'e n'a ra nkjondajmä gatjo nu'a ga jandi.
r'a nuna mi nthandi ngu nu'a ma thänjuahu̱ (ychtlilmatli), xi mra nts'o, mi kuet'e ha ya ngo̱,	r'a nuna mi ntjandi ngu nu'a ma tjänkjuaju̱ (ychtlilmatli), xi mra nts'o, mi kuet'e ja ya ngo̱,
xa zägi mpaha, nub'u̱ xa njabu̱ xa japabi ma zu ne inte xa t'o̱tuabi nub'u̱ inda japi xa po̱ho̱ bi ya kue̱ ra nge'a ya jä'i xi mra no̱t'e ne mra hyotejä'i,	xa zägi mpaja, nub'u̱ xa nkjabu̱ xa kjapabi ma zu ne inte xa t'o̱tuabi nub'u̱ inda kjapi xa po̱jo̱ bi ya kue̱ ra nge'a ya kjä'i xi mra no̱t'e ne mra jyotekjä'i,
y'o, ri ma ne gi xipabihu̱ ya metlaxcala ge ma r'a ya me̱ti jä'i ne ri ajuähu̱, ge nu'a ga mä ge xa ehe nuua ma haihu̱, ge di umbabihe ma nthädihe.	y'o, ri ma ne gi xipabiju̱ ya metlaxtsala ge ma r'a ya me̱ti kjä'i ne ri akjuäju̱, ge nu'a ga mä ge xa eje nuua ma jaiju̱, ge di umbabije ma ntjädije.
¿te da o̱t'e ma jä'ihu̱ sta b'e̱dihu̱?	¿te da o̱t'e ma kjä'iju̱ sta b'e̱diju̱?
-da ts'iua:... ri ñ'ehe ge'a ma njueih'u̱. da o̱t'ehe ya ñ'o̱te ko ya he̱m'i, ya ñ'o̱t'ehe ko ya ntuts'i. da o̱ts'e̱ ra b'e̱na noya.	-da ts'iua:... ri ñ'eje ge'a ma nkjueij'u̱. da o̱t'eje ya ñ'o̱te ko ya je̱m'i, ya ñ'o̱t'eje ko ya ntuts'i. da o̱ts'e̱ ra b'e̱na noya.
-dom'i ma ajuähu̱ ge inda yu̱t'a ha ma nguhu̱ nuhu̱ to'o e̱nts'i pa thi ne da hokuabi ra honanhyo nub'u̱ sta ne da hyoki ya inda za.	-dom'i ma akjuäju̱ ge inda yu̱t'a ja ma nguju̱ nuju̱ to'o e̱nts'i pa tji ne da jokuabi ra jonanjyo nub'u̱ sta ne da jyoki ya inda za.
-o̱t'a ra mäte gi o̱dehu̱, ja gi b'ai nuuahu̱. mont'a ya ngo ajuä; ri juat'i ra ngo ga tsunda ma ajuähe.	-o̱t'a ra mäte gi o̱deju̱, kja gi b'ai nuuaju̱. mont'a ya ngo akjuä; ri kjuat'i ra ngo ga tsunda ma akjuäje.
-xa hño, di b'u̱ihe njamädihe.	-xa jño, di b'u̱ije nkjamädije.
-¿nguande njabu̱ ga mäu gra juähu̱?	-¿nguande nkjabu̱ ga mäu gra kjuäju̱?
-ñ'emabagi, ya gabida, ya jä'ihu̱ gi pädi ra ntuni ra mem'onda ba ehehu̱ ga te̱nihu̱ma nzu̱tehu̱. ko ya mätsa mi te̱he̱, ko ya bu̱'bai ko ngatho ra ts'e̱di mi te̱he̱ ra ñ'u.	-ñ'emabagi, ya gabida, ya kjä'iju̱ gi pädi ra ntuni ra mem'onda ba ejeju̱ ga te̱niju̱ma nzu̱teju̱. ko ya mätsa mi te̱je̱, ko ya bu̱'bai ko ngatjo ra ts'e̱di mi te̱je̱ ra ñ'u.
bi tse̱ti nuna ngot'i ra m'onda, ngu pede ra dänga b'ede, ya k'oi ne ya njändahmä, ngu nu'a ra hmä ra alonso axayaca, goho n'ate ma pa bi nzo̱t'e nuna pa.	bi tse̱ti nuna ngot'i ra m'onda, ngu pede ra dänga b'ede, ya k'oi ne ya nkjändajmä, ngu nu'a ra jmä ra alonso axayatsa, gojo n'ate ma pa bi nzo̱t'e nuna pa.
into y'o manjuäntho, into pa ri nektho.	into y'o mankjuäntjo, into pa ri nektjo.
nub'u̱ ndi umbabihe ma njut'ihe xki nzäi ndi da'ihe, mi adi n'a tu̱ki nehe nub'u̱ ndi unihe ya k'astaboja mi häni made n'a tu̱ki [...]	nub'u̱ ndi umbabije ma nkjut'ije xki nzäi ndi da'ije, mi adi n'a tu̱ki neje nub'u̱ ndi unije ya k'astabokja mi jäni made n'a tu̱ki [...]
ya miñ'o ko ngehna hmä ri johya,	ya miñ'o ko ngejna jmä ri kjojya,
bi tso̱hso̱ ra ngo ma ajuähu̱: nubia da fu̱di da guadi ra r'e̱t'a ra pa.	bi tso̱jso̱ ra ngo ma akjuäju̱: nubia da fu̱di da guadi ra r'e̱t'a ra pa.
